corpus,year,frame,frame_label,outlet_clean,level,pct,n_present,n_applicable
climate,2020,responsibility,Responsibility,AD,by_outlet,93.5484,29,31
climate,2021,responsibility,Responsibility,AD,by_outlet,88.4058,61,69
climate,2022,responsibility,Responsibility,AD,by_outlet,89.4737,51,57
climate,2023,responsibility,Responsibility,AD,by_outlet,91.4286,64,70
climate,2014,scientific,Scientific,AD,by_outlet,50.0,1,2
climate,2015,scientific,Scientific,AD,by_outlet,50.0,2,4
climate,2016,scientific,Scientific,AD,by_outlet,50.0,1,2
climate,2017,scientific,Scientific,AD,by_outlet,75.0,3,4
climate,2018,scientific,Scientific,AD,by_outlet,66.6667,4,6
climate,2019,scientific,Scientific,AD,by_outlet,48.4848,16,33
climate,2020,scientific,Scientific,AD,by_outlet,38.7097,12,31
climate,2021,scientific,Scientific,AD,by_outlet,31.8841,22,69
climate,2022,scientific,Scientific,AD,by_outlet,38.5965,22,57
climate,2023,scientific,Scientific,AD,by_outlet,45.7143,32,70
climate,2014,crisis,Crisis,AD,by_outlet,0.0,0,2
climate,2015,crisis,Crisis,AD,by_outlet,75.0,3,4
climate,2016,crisis,Crisis,AD,by_outlet,50.0,1,2
climate,2017,crisis,Crisis,AD,by_outlet,0.0,0,4
climate,2018,crisis,Crisis,AD,by_outlet,66.6667,4,6
climate,2019,crisis,Crisis,AD,by_outlet,51.5152,17,33
climate,2020,crisis,Crisis,AD,by_outlet,61.2903,19,31
climate,2021,crisis,Crisis,AD,by_outlet,60.8696,42,69
climate,2022,crisis,Crisis,AD,by_outlet,57.8947,33,57
climate,2023,crisis,Crisis,AD,by_outlet,54.2857,38,70
climate,2014,solutions,Solutions,AD,by_outlet,50.0,1,2
climate,2015,solutions,Solutions,AD,by_outlet,50.0,2,4
climate,2016,solutions,Solutions,AD,by_outlet,50.0,1,2
climate,2017,solutions,Solutions,AD,by_outlet,75.0,3,4
climate,2018,solutions,Solutions,AD,by_outlet,100.0,6,6
climate,2019,solutions,Solutions,AD,by_outlet,81.8182,27,33
climate,2020,solutions,Solutions,AD,by_outlet,80.6452,25,31
climate,2021,solutions,Solutions,AD,by_outlet,85.5072,59,69
climate,2022,solutions,Solutions,AD,by_outlet,78.9474,45,57
climate,2023,solutions,Solutions,AD,by_outlet,90.0,63,70
climate,2014,victim,Victim,AD,by_outlet,50.0,1,2
climate,2015,victim,Victim,AD,by_outlet,50.0,2,4
climate,2016,victim,Victim,AD,by_outlet,0.0,0,2
climate,2017,victim,Victim,AD,by_outlet,25.0,1,4
climate,2018,victim,Victim,AD,by_outlet,16.6667,1,6
climate,2019,victim,Victim,AD,by_outlet,24.2424,8,33
climate,2020,victim,Victim,AD,by_outlet,29.0323,9,31
climate,2021,victim,Victim,AD,by_outlet,17.3913,12,69
climate,2022,victim,Victim,AD,by_outlet,29.8246,17,57
climate,2023,victim,Victim,AD,by_outlet,31.4286,22,70
climate,2014,skepticism,Skepticism,AD,by_outlet,50.0,1,2
climate,2015,skepticism,Skepticism,AD,by_outlet,25.0,1,4
climate,2016,skepticism,Skepticism,AD,by_outlet,0.0,0,2
climate,2017,skepticism,Skepticism,AD,by_outlet,50.0,2,4
climate,2018,skepticism,Skepticism,AD,by_outlet,33.3333,2,6
climate,2019,skepticism,Skepticism,AD,by_outlet,18.1818,6,33
climate,2020,skepticism,Skepticism,AD,by_outlet,16.129,5,31
climate,2021,skepticism,Skepticism,AD,by_outlet,8.6957,6,69
climate,2022,skepticism,Skepticism,AD,by_outlet,8.7719,5,57
climate,2023,skepticism,Skepticism,AD,by_outlet,12.8571,9,70
climate,2014,securitization,Securitization,AD,by_outlet,0.0,0,2
climate,2015,securitization,Securitization,AD,by_outlet,50.0,2,4
climate,2016,securitization,Securitization,AD,by_outlet,50.0,1,2
climate,2017,securitization,Securitization,AD,by_outlet,50.0,2,4
climate,2018,securitization,Securitization,AD,by_outlet,50.0,3,6
climate,2019,securitization,Securitization,AD,by_outlet,27.2727,9,33
climate,2020,securitization,Securitization,AD,by_outlet,45.1613,14,31
climate,2021,securitization,Securitization,AD,by_outlet,46.3768,32,69
climate,2022,securitization,Securitization,AD,by_outlet,31.5789,18,57
climate,2023,securitization,Securitization,AD,by_outlet,37.1429,26,70
climate,2014,othering,Othering,AD,by_outlet,0.0,0,2
climate,2015,othering,Othering,AD,by_outlet,0.0,0,4
climate,2016,othering,Othering,AD,by_outlet,0.0,0,2
climate,2017,othering,Othering,AD,by_outlet,0.0,0,4
climate,2018,othering,Othering,AD,by_outlet,0.0,0,6
